time,cstrategy,dd
2019-01-02,-2956.0,-2956.0
2019-01-03,-3046.0,-3046.0
2019-01-04,-3106.0,-3106.0
2019-01-05,,
2019-01-06,,
2019-01-07,-3166.0,-3166.0
2019-01-08,-2832.0,-2832.0
2019-01-09,-3264.0,-3264.0
2019-01-10,-3324.0,-3324.0
2019-01-11,-3384.0,-3384.0
2019-01-12,,
2019-01-13,,
2019-01-14,-3571.0,-3571.0
2019-01-15,-3408.0,-3408.0
2019-01-16,-3468.0,-3468.0
2019-01-17,-3295.0,-3295.0
2019-01-18,-3269.0,-3269.0
2019-01-19,,
2019-01-20,,
2019-01-21,-3178.0,-3178.0
2019-01-22,-3356.0,-3356.0
2019-01-23,-3715.0,-3715.0
2019-01-24,-4146.0,-4146.0
2019-01-25,,
2019-01-26,,
2019-01-27,,
2019-01-28,-4263.0,-4263.0
2019-01-29,-3704.0,-3704.0
2019-01-30,-3533.0,-3533.0
2019-01-31,-3164.0,-3164.0
2019-02-01,-3224.0,-3224.0
2019-02-02,,
2019-02-03,,
2019-02-04,-3051.0,-3051.0
2019-02-05,-3111.0,-3111.0
2019-02-06,-4981.0,-4981.0
2019-02-07,-5123.0,-5123.0
2019-02-08,-5183.0,-5183.0
2019-02-09,,
2019-02-10,,
2019-02-11,-5325.0,-5325.0
2019-02-12,-5453.0,-5453.0
2019-02-13,-5502.0,-5502.0
2019-02-14,-5096.0,-5096.0
2019-02-15,-5156.0,-5156.0
2019-02-16,,
2019-02-17,,
2019-02-18,-5216.0,-5216.0
2019-02-19,-5185.0,-5185.0
2019-02-20,-4883.0,-4883.0
2019-02-21,-4943.0,-4943.0
2019-02-22,-5019.0,-5019.0
2019-02-23,,
2019-02-24,,
2019-02-25,-5132.0,-5132.0
2019-02-26,-5149.0,-5149.0
2019-02-27,-5180.0,-5180.0
2019-02-28,-7171.0,-7171.0
2019-03-01,-7385.0,-7385.0
2019-03-02,,
2019-03-03,,
2019-03-04,,
2019-03-05,,
2019-03-06,-7385.0,-7385.0
2019-03-07,-7147.0,-7147.0
2019-03-08,-6724.0,-6724.0
2019-03-09,,
2019-03-10,,
2019-03-11,-7146.0,-7146.0
2019-03-12,-7088.0,-7088.0
2019-03-13,-6915.0,-6915.0
2019-03-14,-6975.0,-6975.0
2019-03-15,-6928.0,-6928.0
2019-03-16,,
2019-03-17,,
2019-03-18,-6988.0,-6988.0
2019-03-19,-7122.0,-7122.0
2019-03-20,-7182.0,-7182.0
2019-03-21,-7294.0,-7294.0
2019-03-22,-7354.0,-7354.0
2019-03-23,,
2019-03-24,,
2019-03-25,-7217.0,-7217.0
2019-03-26,-7287.0,-7287.0
2019-03-27,-8071.0,-8071.0
2019-03-28,-8493.0,-8493.0
2019-03-29,-8553.0,-8553.0
2019-03-30,,
2019-03-31,,
2019-04-01,-8496.0,-8496.0
2019-04-02,-8362.0,-8362.0
2019-04-03,-8422.0,-8422.0
2019-04-04,-8566.0,-8566.0
2019-04-05,-8626.0,-8626.0
2019-04-06,,
2019-04-07,,
2019-04-08,-8686.0,-8686.0
2019-04-09,-8823.0,-8823.0
2019-04-10,-8727.0,-8727.0
2019-04-11,-8776.0,-8776.0
2019-04-12,-8603.0,-8603.0
2019-04-13,,
2019-04-14,,
2019-04-15,-8663.0,-8663.0
2019-04-16,-8853.0,-8853.0
2019-04-17,-9353.0,-9353.0
2019-04-18,-9413.0,-9413.0
2019-04-19,,
2019-04-20,,
2019-04-21,,
2019-04-22,-9473.0,-9473.0
2019-04-23,-9750.0,-9750.0
2019-04-24,-10202.0,-10202.0
2019-04-25,-10257.0,-10257.0
2019-04-26,-10275.0,-10275.0
2019-04-27,,
2019-04-28,,
2019-04-29,-10153.0,-10153.0
2019-04-30,-10039.0,-10039.0
2019-05-01,,
2019-05-02,-10077.0,-10077.0
2019-05-03,-10137.0,-10137.0
2019-05-04,,
2019-05-05,,
2019-05-06,-10174.0,-10174.0
2019-05-07,-10234.0,-10234.0
2019-05-08,-10169.0,-10169.0
2019-05-09,-9910.0,-9910.0
2019-05-10,-9521.0,-9521.0
2019-05-11,,
2019-05-12,,
2019-05-13,-9926.0,-9926.0
2019-05-14,-9938.0,-9938.0
2019-05-15,-9860.0,-9860.0
2019-05-16,-10619.0,-10619.0
2019-05-17,-10434.0,-10434.0
2019-05-18,,
2019-05-19,,
2019-05-20,-11279.0,-11279.0
2019-05-21,-11866.0,-11866.0
2019-05-22,-11581.0,-11581.0
2019-05-23,-11605.0,-11605.0
2019-05-24,-11665.0,-11665.0
2019-05-25,,
2019-05-26,,
2019-05-27,-12043.0,-12043.0
2019-05-28,-12201.0,-12201.0
2019-05-29,-11915.0,-11915.0
2019-05-30,-12194.0,-12194.0
2019-05-31,-12254.0,-12254.0
2019-06-01,,
2019-06-02,,
2019-06-03,-11997.0,-11997.0
2019-06-04,-11707.0,-11707.0
2019-06-05,-12181.0,-12181.0
2019-06-06,-12008.0,-12008.0
2019-06-07,-12045.0,-12045.0
2019-06-08,,
2019-06-09,,
2019-06-10,-12013.0,-12013.0
2019-06-11,-12073.0,-12073.0
2019-06-12,-11900.0,-11900.0
2019-06-13,-11788.0,-11788.0
2019-06-14,-11848.0,-11848.0
2019-06-15,,
2019-06-16,,
2019-06-17,-11774.0,-11774.0
2019-06-18,-12453.0,-12453.0
2019-06-19,-12513.0,-12513.0
2019-06-20,,
2019-06-21,-12925.0,-12925.0
2019-06-22,,
2019-06-23,,
2019-06-24,-12759.0,-12759.0
2019-06-25,-13159.0,-13159.0
2019-06-26,-13219.0,-13219.0
2019-06-27,-12347.0,-12347.0
2019-06-28,-12407.0,-12407.0
2019-06-29,,
2019-06-30,,
2019-07-01,-12078.0,-12078.0
2019-07-02,-12379.0,-12379.0
2019-07-03,-13126.0,-13126.0
2019-07-04,-13146.0,-13146.0
2019-07-05,-12973.0,-12973.0
2019-07-06,,
2019-07-07,,
2019-07-08,-13033.0,-13033.0
2019-07-09,,
2019-07-10,-12653.0,-12653.0
2019-07-11,-12869.0,-12869.0
2019-07-12,-14168.0,-14168.0
2019-07-13,,
2019-07-14,,
2019-07-15,-14160.0,-14160.0
2019-07-16,-14220.0,-14220.0
2019-07-17,-14265.0,-14265.0
2019-07-18,-14325.0,-14325.0
